time,joint1,joint2,joint3,joint4,joint5
1749040872.4682503,-0.826200008392334,-19.476900100708008,-11.429100036621094,-3.6112287044525146,0.06781650334596634
1749040872.5684552,-0.45899999141693115,-18.31410026550293,-11.459699630737305,-4.01812744140625,0.016954125836491585
1749040872.6683385,-0.3212999999523163,-17.855100631713867,-12.270600318908691,-2.9669718742370605,0.06781650334596634
1749040872.7684753,-0.3212999999523163,-18.9414005279541,-12.285900115966797,-2.7804765701293945,0.016954125836491585
1749040872.8683093,-0.47429999709129333,-18.31410026550293,-11.429100036621094,-2.814384698867798,0.10172475129365921
1749040872.9685087,-0.7038000226020813,-17.197200775146484,-9.348299980163574,-2.271852731704712,0.08477062731981277
1749040873.068212,-0.5354999899864197,-5.416200160980225,-0.9027000069618225,-1.18678879737854,0.10172475129365921
1749040873.168511,-1.4076000452041626,-2.5703999996185303,1.2698999643325806,-1.1528805494308472,0.10172475129365921
1749040873.26829,-1.7136000394821167,-4.146299839019775,3.09060001373291,-2.37357759475708,0.11867887526750565
1749040873.3681054,-2.264400005340576,-0.3059999942779541,5.645699977874756,-1.915816068649292,0.13563300669193268
1749040873.4683821,-1.7136000394821167,1.1780999898910522,6.67080020904541,-2.5770270824432373,0.11867887526750565
1749040873.5683224,-1.2851999998092651,2.815200090408325,7.558199882507324,-2.3227150440216064,0.08477062731981277
1749040873.6681895,-1.0556999444961548,3.9779999256134033,4.987800121307373,-2.560072898864746,0.11867887526750565
1749040873.7682679,-1.4228999614715576,6.533100128173828,6.96150016784668,-2.4074857234954834,0.13563300669193268
1749040873.8680959,-1.5606000423431396,8.001899719238281,7.451099872589111,-1.9497243165969849,0.11867887526750565
1749040873.9679477,-2.034899950027466,10.95479965209961,7.114500045776367,-1.729320764541626,0.16954125463962555
1749040874.0681503,-2.264400005340576,12.209400177001953,8.613900184631348,-2.0344951152801514,0.1525871306657791
1749040874.1680732,-2.4632999897003174,13.724100112915039,9.180000305175781,-1.6106418371200562,0.1525871306657791
1749040874.2679372,-2.8304998874664307,14.795100212097168,11.826899528503418,-1.3054676055908203,0.16954125463962555
1749040874.3680618,-2.9070000648498535,13.984199523925781,10.113300323486328,-0.22040362656116486,0.16954125463962555
1749040874.4682045,-2.998800039291382,13.999500274658203,10.86299991607666,0.5425320267677307,0.1525871306657791
1749040874.5681558,-3.059999942779541,13.861800193786621,10.786499977111816,0.050862375646829605,0.16954125463962555
1749040874.6681654,-3.274199962615967,11.383199691772461,7.313399791717529,-0.2543118894100189,0.18649537861347198
1749040874.7680895,-3.442500114440918,12.97439956665039,8.384400367736816,-0.35603663325309753,0.20344950258731842
1749040874.8679824,-3.6566998958587646,13.999500274658203,10.648799896240234,-0.13563300669193268,0.20344950258731842
1749040874.968252,-3.825000047683716,13.402799606323242,10.679400444030762,-0.5425320267677307,0.22040362656116486
1749040875.068045,-3.886199951171875,12.148200035095215,8.935199737548828,-0.7290273904800415,0.2373577505350113
1749040875.168349,-4.008600234985352,11.291399955749512,8.323200225830078,-0.59339439868927,0.2373577505350113
1749040875.268161,-4.100399971008301,9.027000427246094,8.598600387573242,-0.6612108945846558,0.2373577505350113
1749040875.3681474,-4.146299839019775,10.143899917602539,7.542900085449219,-0.7290273904800415,0.2882201373577118
1749040875.468063,-4.238100051879883,10.95479965209961,7.22160005569458,-0.7968438863754272,0.27126601338386536
1749040875.5680428,-4.146299839019775,9.914400100708008,6.3495001792907715,-1.220697045326233,0.2543118894100189
1749040875.6682754,-4.054500102996826,9.0423002243042,5.752799987792969,-0.8985686302185059,0.2373577505350113
1749040875.7680898,-3.886199951171875,9.684900283813477,5.7221999168396,-1.3224217891693115,0.27126601338386536
1749040875.8680434,-3.641400098800659,9.76140022277832,6.3495001792907715,-0.7629356384277344,0.3051742613315582
1749040875.9682543,-3.411900043487549,8.369099617004395,5.5233001708984375,-1.0002933740615845,0.3051742613315582
1749040876.0681515,-3.1823999881744385,5.645699977874756,2.891700029373169,-0.8816145062446594,0.2882201373577118
1749040876.1681328,-3.0141000747680664,6.915599822998047,3.779099941253662,-1.2546052932739258,0.2882201373577118
1749040876.2680185,-2.6928000450134277,6.609600067138672,3.779099941253662,-0.8137980103492737,0.3390825092792511
1749040876.3682766,-2.539799928665161,5.9670000076293945,3.5343000888824463,-0.3899448812007904,0.2882201373577118
1749040876.468035,-2.5244998931884766,6.900300025939941,4.528800010681152,-0.2543118894100189,0.32212838530540466
1749040876.5682497,-2.5244998931884766,9.776700019836426,6.9309000968933105,-0.2543118894100189,0.3390825092792511
1749040876.6681547,-2.4632999897003174,7.741799831390381,5.324399948120117,-0.7629356384277344,0.3390825092792511
1749040876.7681675,-2.5703999996185303,6.2118000984191895,4.283999919891357,-0.7968438863754272,0.3390825092792511
1749040876.868103,-2.6621999740600586,4.100399971008301,1.7441999912261963,-1.4919630289077759,0.3390825092792511
1749040876.9682915,-2.8457999229431152,5.156099796295166,2.034899950027466,-1.0511558055877686,0.37299075722694397
1749040877.068063,-2.4173998832702637,-1.3617000579833984,-3.1517999172210693,-2.000586748123169,0.3899448812007904
1749040877.167995,-1.8207000494003296,-10.159199714660645,-11.35260009765625,-4.221577167510986,0.3899448812007904
1749040877.268031,-1.2698999643325806,-10.327500343322754,-11.459699630737305,-3.102604866027832,0.3899448812007904
1749040877.3681738,-0.6884999871253967,-10.205100059509277,-12.239999771118164,-3.1534671783447266,0.3899448812007904
1749040877.4680061,-0.24480000138282776,-9.899100303649902,-11.490300178527832,-3.5773203372955322,0.40689900517463684
1749040877.568133,0.06120000034570694,-9.608400344848633,-11.107799530029297,-2.9839260578155518,0.40689900517463684
1749040877.6681068,0.18359999358654022,-9.577799797058105,-10.83240032196045,-3.6112287044525146,0.40689900517463684
1749040877.7683194,0.24480000138282776,-9.944999694824219,-11.046600341796875,-2.933063507080078,0.4238531291484833
1749040877.8682237,0.2754000127315521,-9.914400100708008,-11.230199813842773,-3.2382378578186035,0.40689900517463684
1749040877.9680858,0.26010000705718994,-10.205100059509277,-11.199600219726562,-2.9669718742370605,0.4238531291484833
1749040878.0679634,0.2142000049352646,-9.868499755859375,-10.128600120544434,-2.8822011947631836,0.4408072531223297
1749040878.1680422,0.12240000069141388,-9.929699897766113,-10.281599998474121,-3.356916666030884,0.4408072531223297
1749040878.2679894,0.045899998396635056,-10.128600120544434,-10.710000038146973,-2.8822011947631836,0.4238531291484833
1749040878.3681452,5.438011152492095e-14,-9.195300102233887,-10.021499633789062,-3.272146224975586,0.4408072531223297
1749040878.4680955,5.438011152492095e-14,-9.27180004119873,-10.679400444030762,-3.356916666030884,0.4747155010700226
1749040878.5682569,-0.06120000034570694,-10.067399978637695,-11.077199935913086,-3.4247331619262695,0.4747155010700226
1749040878.668042,-0.15299999713897705,-10.143899917602539,-10.633500099182129,-3.729907512664795,0.491669625043869
1749040878.7681074,-0.2142000049352646,-10.143899917602539,-10.66409969329834,-2.9669718742370605,0.4747155010700226
1749040878.868196,-0.24480000138282776,-10.097999572753906,-11.245499610900879,-3.3399627208709717,0.5086237788200378
1749040878.9680486,-0.3212999999523163,-9.899100303649902,-11.107799530029297,-3.3230085372924805,0.4747155010700226
1749040879.0682807,-0.3824999928474426,-9.65429973602295,-11.138400077819824,-3.1534671783447266,0.5425320267677307
1749040879.1682563,-0.47429999709129333,-9.348299980163574,-10.878299713134766,-3.6112287044525146,0.5594861507415771
1749040879.268038,-0.5508000254631042,-9.531900405883789,-11.15369987487793,-3.1534671783447266,0.5086237788200378
1749040879.3681276,-0.6119999885559082,-9.96030044555664,-11.015999794006348,-2.9669718742370605,0.5255779027938843
1749040879.4679675,-0.6425999999046326,-10.57229995727539,-11.230199813842773,-3.475595712661743,0.5425320267677307
1749040879.5680134,-0.7343999743461609,-10.801799774169922,-11.138400077819824,-2.9669718742370605,0.5425320267677307
1749040879.6681821,-0.7955999970436096,-10.893600463867188,-10.83240032196045,-3.1534671783447266,0.5764402747154236
